date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:31	20216/20216	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224ef8-5b6f816638943%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/chartjs-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/chartjs-init.js	(from https://gymove.dexignzone.com/xhtml/chart-chartjs.html)
14:35:32	40223/40223	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%229d1f-58dde99508380%22	https://gymove.dexignzone.com/xhtml/vendor/chartist/js/chartist.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/chartist/js/chartist.min.js	(from https://gymove.dexignzone.com/xhtml/chart-chartist.html)
14:35:32	3039/3039	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22bdf-58dde99508380%22	https://gymove.dexignzone.com/xhtml/vendor/chartist-plugin-tooltips/js/chartist-plugin-tooltip.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/chartist-plugin-tooltips/js/chartist-plugin-tooltip.min.js	(from https://gymove.dexignzone.com/xhtml/chart-chartist.html)
14:35:32	21801/21801	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225529-5b6f8164be291%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/chartist-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/chartist-init.js	(from https://gymove.dexignzone.com/xhtml/chart-chartist.html)
14:35:33	62675/62675	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22f4d3-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/jquery-sparkline/jquery.sparkline.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/jquery-sparkline/jquery.sparkline.min.js	(from https://gymove.dexignzone.com/xhtml/chart-sparkline.html)
14:35:33	6645/6645	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2219f5-5b6f816d39631%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/sparkline-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/sparkline-init.js	(from https://gymove.dexignzone.com/xhtml/chart-sparkline.html)
14:35:34	5095/5095	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2213e7-5b6f816c57f6a%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/piety-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/piety-init.js	(from https://gymove.dexignzone.com/xhtml/chart-peity.html)
14:35:35	8848/8848	---M--	200	added ('OK')	image/jpeg	etag:%222290-5b707af4f9664%22	https://gymove.dexignzone.com/xhtml/images/avatar/7.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/avatar/7.jpg	(from https://gymove.dexignzone.com/xhtml/ui-media-object.html)
14:35:35	6743/6743	---M--	200	added ('OK')	image/jpeg	etag:%221a57-5b707af4906b3%22	https://gymove.dexignzone.com/xhtml/images/avatar/6.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/avatar/6.jpg	(from https://gymove.dexignzone.com/xhtml/ui-media-object.html)
14:35:35	7404/7404	---M--	200	added ('OK')	image/jpeg	etag:%221cec-5b707af56672f%22	https://gymove.dexignzone.com/xhtml/images/avatar/8.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/avatar/8.jpg	(from https://gymove.dexignzone.com/xhtml/ui-media-object.html)
14:35:35	51501/51501	---M--	200	added ('OK')	image/png	etag:%22c92d-5b7079ffb60ef%22	https://gymove.dexignzone.com/xhtml/images/card/1.png	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/card/1.png	(from https://gymove.dexignzone.com/xhtml/ui-card.html)
14:35:36	38229/38229	---M--	200	added ('OK')	image/png	etag:%229555-5b707a0057310%22	https://gymove.dexignzone.com/xhtml/images/card/2.png	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/card/2.png	(from https://gymove.dexignzone.com/xhtml/ui-card.html)
14:35:36	54726/54726	---M--	200	added ('OK')	image/png	etag:%22d5c6-5b707a010d7bb%22	https://gymove.dexignzone.com/xhtml/images/card/3.png	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/card/3.png	(from https://gymove.dexignzone.com/xhtml/ui-card.html)
14:35:36	57722/57722	---M--	200	added ('OK')	image/jpeg	etag:%22e17a-5b7079f80bfab%22	https://gymove.dexignzone.com/xhtml/images/big/img1.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img1.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:36	94001/94001	---M--	200	added ('OK')	image/jpeg	etag:%2216f31-5b7079f8ebc67%22	https://gymove.dexignzone.com/xhtml/images/big/img2.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img2.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:37	86468/86468	---M--	200	added ('OK')	image/jpeg	etag:%22151c4-5b7079f9bdbc8%22	https://gymove.dexignzone.com/xhtml/images/big/img3.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img3.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:37	89194/89194	---M--	200	added ('OK')	image/jpeg	etag:%2215c6a-5b7079fa8e11e%22	https://gymove.dexignzone.com/xhtml/images/big/img4.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img4.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:37	54131/54131	---M--	200	added ('OK')	image/jpeg	etag:%22d373-5b7079fb438c4%22	https://gymove.dexignzone.com/xhtml/images/big/img5.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img5.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:37	65635/65635	---M--	200	added ('OK')	image/jpeg	etag:%2210063-5b7079fc0bbe5%22	https://gymove.dexignzone.com/xhtml/images/big/img6.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img6.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:38	88600/88600	---M--	200	added ('OK')	image/jpeg	etag:%2215a18-5b7079fcc2d96%22	https://gymove.dexignzone.com/xhtml/images/big/img7.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/big/img7.jpg	(from https://gymove.dexignzone.com/xhtml/ui-carousel.html)
14:35:39	15181/15181	---MCZ	200	added ('OK')	text/css	etag:W/%223b4d-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/select2/css/select2.min.css	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/select2/css/select2.min.css	(from https://gymove.dexignzone.com/xhtml/uc-select2.html)
14:35:39	76272/76272	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22129f0-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/select2/js/select2.full.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/select2/js/select2.full.min.js	(from https://gymove.dexignzone.com/xhtml/uc-select2.html)
14:35:39	10549/10549	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222935-5b6f816cd1385%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/select2-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/select2-init.js	(from https://gymove.dexignzone.com/xhtml/uc-select2.html)
14:35:39	1675/1675	---M-Z	200	added ('OK')	text/css	etag:%2268b-58dde996f0800-gzip%22	https://gymove.dexignzone.com/xhtml/vendor/nestable2/css/jquery.nestable.min.css	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/nestable2/css/jquery.nestable.min.css	(from https://gymove.dexignzone.com/xhtml/uc-nestable.html)
14:35:40	16117/16117	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ef5-58dde996f0800-gzip%22	https://gymove.dexignzone.com/xhtml/vendor/nestable2/js/jquery.nestable.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/nestable2/js/jquery.nestable.min.js	(from https://gymove.dexignzone.com/xhtml/uc-nestable.html)
14:35:40	907/907	---M-Z	200	added ('OK')	application/x-javascript	etag:%2238b-5b6f816b063c3-gzip%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/nestable-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/nestable-init.js	(from https://gymove.dexignzone.com/xhtml/uc-nestable.html)
